Wall time,Step,Value
1745012863.9172513,2600,3.5347891298442846e-06
1745012939.4135268,2625,3.471305262792157e-06
1745013022.1374164,2650,3.407821168366354e-06
1745013098.5532641,2675,3.3443373013142264e-06
1745013455.5818326,2700,3.2808532068884233e-06
1745013520.553828,2725,3.2173691124626203e-06
1745013586.5042195,2750,3.1538852454104926e-06
1745013658.0139167,2775,3.0904011509846896e-06
1745013673.3039901,2800,3.026917283932562e-06
1745013688.612709,2825,2.963433189506759e-06
1745014326.045709,2850,2.8999493224546313e-06
1745014341.975393,2875,2.8364652280288283e-06
1745014377.6449747,2900,2.7729811336030252e-06
1745014429.6094098,2925,2.7094972665508976e-06
1745014476.0316377,2950,2.6460131721250946e-06
1745014523.9544945,2975,2.582529305072967e-06
1745015180.725325,3000,2.519045210647164e-06
1745015247.0754137,3025,2.455561116221361e-06
1745015278.6286922,3050,2.3920772491692333e-06
1745015295.0280426,3075,2.32859315474343e-06
1745015338.9128,3100,2.2651092876913026e-06
1745016165.6017594,3125,2.2016251932654995e-06
1745016236.341322,3150,2.1381410988396965e-06
1745016312.5998363,3175,2.074657231787569e-06
1745016333.273383,3200,2.011173137361766e-06
1745016349.2687945,3225,1.9476892703096382e-06
1745016407.5892637,3250,1.8842051758838352e-06
1745017308.205901,3275,1.8207211951448699e-06
1745017377.3997507,3300,1.7572372144059045e-06
1745017450.4646838,3325,1.6937531199801015e-06
1745017523.22513,3350,1.6302691392411361e-06
1745017599.0511904,3375,1.5667851585021708e-06
1745017675.5241964,3400,1.5033011777632055e-06
1745017927.8087616,3425,1.4398171970242402e-06
1745017943.4682467,3450,1.3763332162852748e-06
1745017958.8986022,3475,1.3128491218594718e-06
1745017974.3669524,3500,1.2493651411205065e-06
1745017989.6660235,3525,1.1858811603815411e-06
1745018005.2212098,3550,1.1223971796425758e-06
1745018248.5391579,3575,1.0589131989036105e-06
1745018264.2523685,3600,9.954291044778074e-07
1745018279.6218789,3625,9.319451237388421e-07
1745018295.0005436,3650,8.684611429998768e-07
1745018310.4087546,3675,8.049771622609114e-07
1745018556.6822233,3700,7.414931246785272e-07
1745018571.9766698,3725,6.780091439395619e-07
1745018587.5661879,3750,6.145251632005966e-07
1745018602.6450636,3775,5.510411256182124e-07
1745018618.165722,3800,4.875571448792471e-07
1745018633.7619956,3825,4.240731357185723e-07
1745018881.4661367,3850,3.6058912655789754e-07
1745018902.1503994,3875,2.971051173972228e-07
1745018923.160092,3900,2.3362112244740274e-07
1745018943.838945,3925,1.701371274975827e-07
1745018964.574787,3950,1.066531254423353e-07
1745018986.2219691,3975,4.3169119834374214e-08
